time,phoneme,vocalic,strident,nasal,back,stop,pause
1.7,tS,0.6286759,0.34560612,0.10093341,0.7904472,0.68626386,0.034586407
1.71,a,0.86798877,0.066503346,0.10248885,0.92664945,0.32725286,0.007719067
1.72,a,0.95044637,0.029348137,0.058938418,0.96723217,0.1700068,0.0023533057
1.73,a,0.9728657,0.016557455,0.04823603,0.9812093,0.08616117,0.0021754194
1.74,a,0.98573893,0.0093719335,0.033614665,0.988468,0.0555139,0.000833973
1.75,a,0.98410976,0.011811556,0.050904825,0.9876797,0.06674751,0.000851736
1.76,a,0.95953536,0.03186405,0.14971575,0.9759949,0.116338134,0.0017894625
1.77,a,0.93898255,0.049744744,0.23811565,0.96596473,0.14042276,0.004713499
1.78,a,0.920121,0.07905924,0.32665294,0.9531676,0.1324759,0.013837193
1.79,a,0.88073903,0.14705344,0.38223255,0.9375434,0.11197998,0.024983302
1.8,a,0.7728915,0.26049,0.5220732,0.8961521,0.11020605,0.050820116
1.81,a,0.2919182,0.32343525,0.7420007,0.5375963,0.41873193,0.64597636
1.82,<p:>,0.1798287,0.31008944,0.53993255,0.3522889,0.63238794,0.7997865
1.83,<p:>,0.11906943,0.2880069,0.2756063,0.22273637,0.63375974,0.86782265
1.84,<p:>,0.061256945,0.31454384,0.10947475,0.11836969,0.5929804,0.9026201
1.85,<p:>,0.046483006,0.3048716,0.07316065,0.08485846,0.56177247,0.9134799
1.86,<p:>,0.039269377,0.28940794,0.06016606,0.06488058,0.5618135,0.9129349
1.87,<p:>,0.02673349,0.3371244,0.039242923,0.044723388,0.59360766,0.904626
1.8800000000000001,<p:>,0.021534372,0.38520795,0.024470372,0.03430674,0.61409086,0.8983626
1.8900000000000001,<p:>,0.02498417,0.35714757,0.023561824,0.03519193,0.6380207,0.8916954
1.9000000000000001,<p:>,0.022251042,0.31389016,0.015975941,0.028143452,0.67557687,0.8850939
1.9100000000000001,<p:>,0.066473834,0.28308114,0.035402667,0.084830135,0.7904639,0.78899705
1.92,<p:>,0.1686119,0.2299878,0.06364354,0.19727924,0.68304276,0.79988074
1.93,<p:>,0.1644276,0.19492884,0.060628224,0.19838428,0.48409128,0.87902653
1.94,<p:>,0.09873494,0.13832457,0.039467245,0.11826964,0.3181852,0.9307556
1.95,<p:>,0.045138046,0.10449097,0.024041887,0.040579427,0.209996,0.96270955
1.96,<p:>,0.043031324,0.09304324,0.025254807,0.038911697,0.19765136,0.9643333
1.97,<p:>,0.046611547,0.09142713,0.028525317,0.04532587,0.18210825,0.96432835
1.98,<p:>,0.04413206,0.084186524,0.025590803,0.045658294,0.16280024,0.96857333
1.99,<p:>,0.046111215,0.08294719,0.026957482,0.056540124,0.17628488,0.96655095
2.0,<p:>,0.0756295,0.06263775,0.023518167,0.1026914,0.09543851,0.9709143
2.0100000000000002,<p:>,0.033017643,0.033454236,0.0078592785,0.038646843,0.062411472,0.98616815
2.02,<p:>,0.018163992,0.021531917,0.004387741,0.01925988,0.043476824,0.9916874
2.0300000000000002,<p:>,0.013789105,0.017940281,0.0031060379,0.01464311,0.035565384,0.99345917
2.04,<p:>,0.01209373,0.017408838,0.0026560049,0.013458169,0.03182315,0.9941252
2.05,<p:>,0.010362668,0.01750896,0.0025964626,0.011939838,0.029316047,0.9946157
2.06,<p:>,0.008136257,0.017311187,0.0019345464,0.009982478,0.024073586,0.99543154
2.07,<p:>,0.0046612094,0.015336247,0.0012933919,0.0059362445,0.01734568,0.99684685
2.08,<p:>,0.0033942517,0.014152501,0.0011175664,0.004715338,0.01598149,0.9974052
2.09,<p:>,0.0030139508,0.013108964,0.0009793917,0.004359887,0.016907834,0.9974845
2.1,<p:>,0.0031962867,0.014661933,0.0012598238,0.004855643,0.020035768,0.99707115
2.11,<p:>,0.002829988,0.015967743,0.0013193205,0.004370042,0.021318141,0.99696404
2.12,<p:>,0.0024037072,0.015949996,0.0013290833,0.0037257157,0.022793928,0.99700326
2.13,<p:>,0.0021161423,0.016338289,0.0011442542,0.0033354007,0.024734678,0.9969387
2.14,<p:>,0.002043727,0.018895702,0.0011641785,0.0031928185,0.029367596,0.9965282
2.15,<p:>,0.0018144309,0.022710156,0.0012216746,0.0027765438,0.03506692,0.9961796
2.16,<p:>,0.0018926419,0.028137995,0.0013739014,0.0027121904,0.04669716,0.9953733
2.17,<p:>,0.0020322574,0.034397885,0.0013620581,0.0025897794,0.06506099,0.99429506
2.18,<p:>,0.0023238035,0.04360281,0.0012872772,0.002642776,0.09356871,0.9923847
2.19,<p:>,0.00232543,0.05538583,0.0008632367,0.0024231316,0.14092833,0.98895425
2.2,<p:>,0.004119522,0.06846078,0.0012816639,0.00399529,0.27412352,0.9802588
2.21,<p:>,0.0054881317,0.082468316,0.0016157436,0.00471411,0.38096446,0.97324187
2.22,<p:>,0.00606761,0.086421594,0.0015915077,0.0051736617,0.472274,0.9655553
